temperature,rainfall,humidity,soil_type,crop_type,fertilizer,area,yield
20.87974371,202.9355362,82.00274423,Loamy,rice,Urea,2.49816047538945,13.232438566131101
21.77046169,226.6555374,80.31964408,Loamy,rice,Urea,4.802857225639665,15.497895641855644
23.00445915,263.9642476,82.3207629,Alkaline,rice,Urea,3.9279757672456204,18.237934908362597
26.49109635,242.8640342,80.15836264,Loamy,rice,Urea,3.3946339367881464,16.86473185933695
20.13017482,262.7173405,81.60487287,Alkaline,rice,Urea,1.624074561769746,18.585278274855053
23.05804872,251.0549998,83.37011772,Loamy,rice,Urea,1.6239780813448106,15.870721227394798
22.70883798,271.3248604,82.63941394,Acidic,rice,Urea,1.2323344486727978,18.702529758219445
20.27774362,241.9741949,82.89408619,Acidic,rice,Urea,4.46470458309974,15.95018260434214
24.51588066,230.4462359,83.53521629999999,Loamy,rice,Urea,3.404460046972835,17.41726383327229
23.22397386,221.2091958,83.03322691,Loamy,rice,Urea,3.832290311184182,16.692472081344526
26.52723513,264.6148697,81.41753846,Acidic,rice,Urea,1.0823379771832098,15.520618470929127
23.97898217,250.0832336,81.45061596,Alkaline,rice,Urea,4.879639408647977,19.141483956714865
26.80079604,284.4364567,80.88684822,Acidic,rice,Urea,4.329770563201687,17.622370811092075
24.01497622,185.2773389,82.05687182,Loamy,rice,Urea,1.8493564427131046,15.067642345233601
25.66585205,209.5869708,80.66385045,Loamy,rice,Urea,1.7272998688284025,15.383182733185523
24.28209415,231.0863347,80.30025587,Loamy,rice,Urea,1.7336180394137353,19.34451895183162
21.58711777,276.65524589999995,82.7883708,Loamy,rice,Urea,2.216968971838151,17.566675592540108
23.79391957,206.2611855,80.41817957,Loamy,rice,Urea,3.0990257265289514,13.8548730253165
21.8652524,224.55501690000003,80.1923008,Acidic,rice,Urea,2.727780074568463,15.325339244681384
23.57943626,291.2986618000001,83.58760316,Acidic,rice,Urea,2.1649165607921677,18.225952394610673
21.32504158,185.4974732,80.47476396,Loamy,rice,Urea,3.447411578889518,15.078240427573053
25.15745531,231.3843163,83.11713476,Acidic,rice,Urea,1.5579754426081673,12.57180119208764
21.94766735,213.3560921,80.97384195,Loamy,rice,Urea,2.1685785941408726,12.67468132462138
21.0525355,233.1075816,82.67839517,Loamy,rice,Urea,2.465447373174767,13.705029845959093
23.48381344,224.0581164,81.33265073,Loamy,rice,Urea,2.8242799368681437,17.343769430033966
25.0756354,257.0038865,80.52389148,Alkaline,rice,Urea,4.140703845572054,20.658716175921057
26.35927159,271.35861370000003,84.04403589,Loamy,rice,Urea,1.798695128633439,17.691441344088403
24.52922681,260.2634026,80.54498576,Loamy,rice,Urea,3.0569377536544464,16.93889669368542
20.77576147,240.0810647,84.49774397,Loamy,rice,Urea,3.36965827544817,16.48430599167118
22.30157427,197.9791215,80.64416466,Loamy,rice,Urea,1.185801650879991,16.23610665980438
21.44653958,272.2017204,84.94375962,Acidic,rice,Urea,3.4301794076057535,16.139544264579428
22.17931888,200.0882787,80.33127223,Loamy,rice,Urea,1.6820964947491661,14.527992005544489
24.52783742,224.67572310000003,82.73685569,Loamy,rice,Urea,1.260206371941118,17.355511401958974
20.26707606,270.4417274,81.63895217,Acidic,rice,Urea,4.7955421490133325,18.877399293381025
25.7354293,233.1321372,83.88266234,Loamy,rice,Urea,4.862528132298237,16.649392279027314
26.79533926,193.3473987,82.1480873,Acidic,rice,Urea,4.233589392465845,16.18260472918087
26.75754171,272.29990560000005,81.17734011,Acidic,rice,Urea,2.2184550766934827,12.480196057370875
23.86330467,285.2493645,83.15250801,Acidic,rice,Urea,1.3906884560255355,19.79928717016437
21.01944696,298.40184710000005,82.95221726,Loamy,rice,Urea,3.7369321060486276,17.93430629855002
24.17298839,257.0343554,83.7287574,Acidic,rice,Urea,2.760609974958405,13.540852921482927
22.78133816,248.7183228,82.06719137,Loamy,rice,Urea,1.4881529393791153,17.573264432587877
25.62980105,209.9001977,83.52842314,Acidic,rice,Urea,2.9807076404450807,17.650428696470428
25.59704938,200.834898,80.14509262,Loamy,rice,Urea,1.1375540844608736,13.854318465390707
23.83067496,298.5601175,84.81360127,Loamy,rice,Urea,4.637281608315128,21.40494742983739
26.31355498,265.5355937,82.36698992,Loamy,rice,Urea,2.0351199264000677,20.7889344398173
24.8972823,183.6793207,80.52586088,Loamy,rice,Urea,3.650089137415928,16.14675676010969
24.958779,196.95600080000003,84.47963372,Acidic,rice,Urea,2.246844304357644,17.480362247978555
23.24113501,233.0453455,84.59201843,Alkaline,rice,Urea,3.0802720847112433,17.525464253114908
21.66628296,210.8142087,80.70960551,Loamy,rice,Urea,3.1868411173731186,14.888634533740499
24.63544858,253.7202781,80.41363018,Alkaline,rice,Urea,1.7394178221021082,13.611632728015874
23.43121862,219.9048349,83.06310136,Acidic,rice,Urea,4.878338511058234,15.016411232845929
20.0454142,208.5810155,80.3477562,Loamy,rice,Urea,4.100531293444458,12.967883387712064
23.85724032,195.0948311,82.22572988,Loamy,rice,Urea,4.757995766256757,18.5771729714213
21.97199397,227.3637009,81.89918197,Acidic,rice,Urea,4.579309401710596,15.409471458206387
26.22916897,286.5083725,83.83625819,Acidic,rice,Urea,3.3915999152443406,19.051313626793405
23.44676801,283.9338466,84.79352417,Loamy,rice,Urea,4.687496940092467,19.86355678319018
25.65553461,217.3788583,83.47021081,Loamy,rice,Urea,1.353970008207678,15.200019279265677
24.44345477,267.97619480000003,82.45432595,Acidic,rice,Urea,1.7839314496765808,20.998781646929167
20.2801937,191.9535738,82.1235421,Loamy,rice,Urea,1.1809091556421523,12.363818377095312
21.7238313,277.9626192,80.2389895,Loamy,rice,Urea,2.3013213230530574,18.378752521779795
20.41447029,245.1511304,82.20802629,Alkaline,rice,Urea,2.554709158757928,14.9288414247797
25.75528612,245.6626799,83.51827127,Acidic,rice,Urea,2.0853961270955836,13.965018019668145
20.61521424,279.5451717,83.77345559,Loamy,rice,Urea,4.314950036607717,17.1546100576502
21.84106875,202.3838319,80.72886384,Loamy,rice,Urea,2.427013306774357,14.172205947680613
20.08369642,263.6372176,83.29114712,Acidic,rice,Urea,2.123738038749523,16.469787012240435
24.45802087,182.5616319,82.74835604,Loamy,rice,Urea,3.170784332632994,12.103992936215588
21.14347496,198.6730942,80.33502926,Acidic,rice,Urea,1.5636968998990506,11.125094891846237
25.78720567,243.5120414,82.11124033,Loamy,rice,Urea,4.208787923016159,16.488335500344224
23.64124821,263.1103304,80.28597873,Acidic,rice,Urea,1.2982025747190833,14.196572624909905
23.43191632,269.5039162,80.56887849,Loamy,rice,Urea,4.947547746402069,19.41577514121941
24.97669518,204.8001847,83.891805,Loamy,rice,Urea,4.08897907718663,14.91875970398767
22.72791041,260.8875056,82.17068809999998,Loamy,rice,Urea,1.7948627261366896,14.27742338998381
24.87300744,295.6094492000001,82.84022551,Loamy,rice,Urea,1.0220884684944096,18.324062396349717
21.32376327,192.3197536,83.00320459,Loamy,rice,Urea,4.261845713819337,12.497700521900768
26.29465461,257.4914906,84.56919326,Loamy,rice,Urea,3.8274293753904685,18.06727385707741
22.2286982,278.0791793,81.85872947,Loamy,rice,Urea,3.9160286721639492,20.917672849062686
26.73072391,280.4044392,81.78596776,Alkaline,rice,Urea,4.0850813867437825,14.751745587082892
24.88921174,185.9461429,81.97927117,Acidic,rice,Urea,1.2961786069363614,13.682824362988471
26.88444878,194.5766559,81.46033732,Loamy,rice,Urea,2.4338629141770904,13.71690045148443
